trade_id,user_id,entry_time,entry_price,qty,unmanaged_max_drawdown_pct,unmanaged_pnl,sl_2_triggered,sl_2_pnl,sl_2_exit_time,sl_2_saved_capital,sl_5_triggered,sl_5_pnl,sl_5_exit_time,sl_5_saved_capital,sl_10_triggered,sl_10_pnl,sl_10_exit_time,sl_10_saved_capital
TRD_800188,USR_RET_007,2026-08-22 00:06:00,6847903.263,0.0224,-2.37,-683.86,True,-4050.36,2026-08-23 10:30:00,-3366.5,False,-683.86,,0.0,False,-683.86,,0.0
TRD_800233,USR_RET_009,2026-08-22 02:06:00,6867397.3518,0.0309,-2.64,-1385.1,True,-5603.23,2026-08-23 10:30:00,-4218.13,False,-1385.1,,0.0,False,-1385.1,,0.0
TRD_800189,USR_RET_007,2026-08-22 06:00:00,6905076.0303,0.014,-3.18,-812.85,True,-2552.61,2026-08-23 10:30:00,-1739.76,False,-812.85,,0.0,False,-812.85,,0.0
TRD_800359,USR_RET_014,2026-08-22 10:21:00,6953622.9735,0.0072,-3.85,-1267.3,True,-1322.0,2026-08-22 10:30:00,-54.7,False,-1267.3,,0.0,False,-1267.3,,0.0
TRD_800157,USR_RET_006,2026-08-22 13:18:00,6864032.7535,0.0142,-2.6,-707.25,True,-2573.69,2026-08-23 10:30:00,-1866.44,False,-707.25,,0.0,False,-707.25,,0.0
TRD_800390,USR_RET_015,2026-08-22 15:17:00,6825442.1039,0.0189,-2.05,203.97,True,-3406.28,2026-08-23 10:30:00,-3610.25,False,203.97,,0.0,False,203.97,,0.0
TRD_800295,USR_RET_011,2026-08-22 18:19:00,7124978.4616,0.0965,-6.16,-14264.56,True,-18155.1,2026-08-22 18:30:00,-3890.54,True,-38689.2,2026-08-23 09:30:00,-24424.64,False,-14264.56,,0.0
TRD_800234,USR_RET_009,2026-08-22 18:40:00,6851670.9429,0.0463,-2.42,3557.9,True,-8376.55,2026-08-23 10:30:00,-11934.45,False,3557.9,,0.0,False,3557.9,,0.0
TRD_800123,USR_RET_005,2026-08-22 20:05:00,6831857.4209,0.0078,-2.14,1384.75,True,-1407.09,2026-08-23 10:30:00,-2791.84,False,1384.75,,0.0,False,1384.75,,0.0
TRD_800038,USR_RET_002,2026-08-23 00:17:00,6855097.6436,0.0205,-2.47,2104.14,True,-3710.7,2026-08-23 10:30:00,-5814.84,False,2104.14,,0.0,False,2104.14,,0.0
TRD_800353,USR_RET_013,2026-08-23 03:05:00,6811959.5203,0.0513,-1.85,7741.02,False,7741.02,,0.0,False,7741.02,,0.0,False,7741.02,,0.0
TRD_800213,USR_RET_008,2026-08-23 06:08:00,6846073.4242,0.0795,-2.34,14590.75,True,-14371.31,2026-08-23 10:30:00,-28962.06,False,14590.75,,0.0,False,14590.75,,0.0
TRD_800327,USR_RET_012,2026-08-23 10:53:00,6740146.2575,0.0088,-0.38,3323.46,False,3323.46,,0.0,False,3323.46,,0.0,False,3323.46,,0.0
TRD_800073,USR_RET_003,2026-08-23 12:54:00,6734030.2991,0.0347,-0.18,10166.96,False,10166.96,,0.0,False,10166.96,,0.0,False,10166.96,,0.0
TRD_800039,USR_RET_002,2026-08-23 21:37:00,6863508.451,0.0506,-1.14,5785.87,False,5785.87,,0.0,False,5785.87,,0.0,False,5785.87,,0.0
TRD_800129,USR_RET_005,2026-08-23 21:42:00,6858026.4155,0.0257,-1.06,3080.13,False,3080.13,,0.0,False,3080.13,,0.0,False,3080.13,,0.0
TRD_800319,USR_RET_012,2026-08-24 03:20:00,6897195.5681,0.0105,-1.62,300.94,False,300.94,,0.0,False,300.94,,0.0,False,300.94,,0.0
TRD_800186,USR_RET_007,2026-08-24 09:03:00,6813338.2706,0.0061,-0.41,968.38,False,968.38,,0.0,False,968.38,,0.0,False,968.38,,0.0
TRD_800214,USR_RET_008,2026-08-24 12:38:00,6851945.2992,0.0076,-0.76,802.25,False,802.25,,0.0,False,802.25,,0.0,False,802.25,,0.0
TRD_800101,USR_RET_004,2026-08-24 15:12:00,6873145.0305,0.0063,-0.27,262.71,False,262.71,,0.0,False,262.71,,0.0,False,262.71,,0.0
TRD_800053,USR_RET_002,2026-08-24 21:12:00,7229262.3589,0.0248,-4.96,-8782.88,True,-4734.06,2026-08-24 21:30:00,4048.82,False,-8782.88,,0.0,False,-8782.88,,0.0
TRD_800240,USR_RET_009,2026-08-24 21:43:00,7018798.4516,0.0581,-2.11,-8403.79,True,-10767.79,2026-08-26 20:30:00,-2364.0,False,-8403.79,,0.0,False,-8403.79,,0.0
TRD_800125,USR_RET_005,2026-08-25 02:31:00,6995696.4385,0.0411,-1.79,-2326.44,False,-2326.44,,0.0,False,-2326.44,,0.0,False,-2326.44,,0.0
TRD_800032,USR_RET_001,2026-08-25 05:52:00,7065457.5019,0.0299,-2.76,-3876.64,True,-5578.27,2026-08-25 18:30:00,-1701.63,False,-3876.64,,0.0,False,-3876.64,,0.0
