user_id,asset_id,priority_level,anomaly_category,metric_value,baseline_value,status,detected_at,description
USR_RET_011,BTC,P0,STOP_LOSS_SLIPPAGE,4.15,2.0,OPEN,2026-08-22 18:19:00.000000,Critical execution slippage of 4.15% detected on trade TRD_800295 (Order ORD_500295). Breaches institutional SLA of 2.00%.
USR_RET_002,BTC,P0,STOP_LOSS_SLIPPAGE,3.27,2.0,OPEN,2026-08-24 21:12:00.000000,Critical execution slippage of 3.27% detected on trade TRD_800053 (Order ORD_500053). Breaches institutional SLA of 2.00%.
USR_RET_012,BTC,P0,STOP_LOSS_SLIPPAGE,5.44,2.0,OPEN,2026-08-27 00:04:00.000000,Critical execution slippage of 5.44% detected on trade TRD_800309 (Order ORD_500309). Breaches institutional SLA of 2.00%.
USR_RET_009,BTC,P0,STOP_LOSS_SLIPPAGE,3.39,2.0,OPEN,2026-08-27 20:53:00.000000,Critical execution slippage of 3.39% detected on trade TRD_800239 (Order ORD_500239). Breaches institutional SLA of 2.00%.
USR_RET_011,BTC,P0,STOP_LOSS_SLIPPAGE,3.58,2.0,OPEN,2026-08-28 23:49:00.000000,Critical execution slippage of 3.58% detected on trade TRD_800294 (Order ORD_500294). Breaches institutional SLA of 2.00%.
USR_RET_012,BTC,P0,STOP_LOSS_SLIPPAGE,4.44,2.0,OPEN,2026-08-30 05:57:00.000000,Critical execution slippage of 4.44% detected on trade TRD_800314 (Order ORD_500314). Breaches institutional SLA of 2.00%.
USR_RET_010,BTC,P0,STOP_LOSS_SLIPPAGE,3.66,2.0,OPEN,2026-08-30 23:45:00.000000,Critical execution slippage of 3.66% detected on trade TRD_800249 (Order ORD_500249). Breaches institutional SLA of 2.00%.
USR_RET_009,BTC,P0,STOP_LOSS_SLIPPAGE,4.22,2.0,OPEN,2026-09-04 06:34:00.000000,Critical execution slippage of 4.22% detected on trade TRD_800227 (Order ORD_500227). Breaches institutional SLA of 2.00%.
USR_RET_014,BTC,P0,STOP_LOSS_SLIPPAGE,5.2,2.0,OPEN,2026-09-05 17:43:00.000000,Critical execution slippage of 5.20% detected on trade TRD_800371 (Order ORD_500371). Breaches institutional SLA of 2.00%.
USR_RET_013,BTC,P0,STOP_LOSS_SLIPPAGE,3.6,2.0,OPEN,2026-09-07 04:34:00.000000,Critical execution slippage of 3.60% detected on trade TRD_800339 (Order ORD_500339). Breaches institutional SLA of 2.00%.
USR_RET_009,BTC,P0,STOP_LOSS_SLIPPAGE,4.19,2.0,OPEN,2026-09-08 01:46:00.000000,Critical execution slippage of 4.19% detected on trade TRD_800228 (Order ORD_500228). Breaches institutional SLA of 2.00%.
USR_RET_014,BTC,P0,STOP_LOSS_SLIPPAGE,3.85,2.0,OPEN,2026-09-10 12:49:00.000000,Critical execution slippage of 3.85% detected on trade TRD_800374 (Order ORD_500374). Breaches institutional SLA of 2.00%.
USR_RET_007,BTC,P0,STOP_LOSS_SLIPPAGE,4.6,2.0,OPEN,2026-09-10 19:47:00.000000,Critical execution slippage of 4.60% detected on trade TRD_800174 (Order ORD_500174). Breaches institutional SLA of 2.00%.
USR_RET_009,BTC,P0,STOP_LOSS_SLIPPAGE,5.21,2.0,OPEN,2026-09-11 21:35:00.000000,Critical execution slippage of 5.21% detected on trade TRD_800241 (Order ORD_500241). Breaches institutional SLA of 2.00%.
USR_RET_004,BTC,P0,STOP_LOSS_SLIPPAGE,4.42,2.0,OPEN,2026-09-12 00:10:00.000000,Critical execution slippage of 4.42% detected on trade TRD_800083 (Order ORD_500083). Breaches institutional SLA of 2.00%.
USR_RET_001,BTC,P0,STOP_LOSS_SLIPPAGE,4.38,2.0,OPEN,2026-09-12 17:48:00.000000,Critical execution slippage of 4.38% detected on trade TRD_800001 (Order ORD_500001). Breaches institutional SLA of 2.00%.
USR_RET_012,BTC,P0,STOP_LOSS_SLIPPAGE,4.56,2.0,OPEN,2026-09-12 18:06:00.000000,Critical execution slippage of 4.56% detected on trade TRD_800308 (Order ORD_500308). Breaches institutional SLA of 2.00%.
USR_RET_008,BTC,P0,STOP_LOSS_SLIPPAGE,3.14,2.0,OPEN,2026-09-12 23:46:00.000000,Critical execution slippage of 3.14% detected on trade TRD_800196 (Order ORD_500196). Breaches institutional SLA of 2.00%.
USR_RET_005,BTC,P0,STOP_LOSS_SLIPPAGE,4.88,2.0,OPEN,2026-09-14 22:05:00.000000,Critical execution slippage of 4.88% detected on trade TRD_800116 (Order ORD_500116). Breaches institutional SLA of 2.00%.
USR_RET_013,BTC,P0,STOP_LOSS_SLIPPAGE,5.03,2.0,OPEN,2026-09-15 03:38:00.000000,Critical execution slippage of 5.03% detected on trade TRD_800350 (Order ORD_500350). Breaches institutional SLA of 2.00%.
USR_RET_011,BTC,P0,STOP_LOSS_SLIPPAGE,5.05,2.0,OPEN,2026-09-17 03:17:00.000000,Critical execution slippage of 5.05% detected on trade TRD_800285 (Order ORD_500285). Breaches institutional SLA of 2.00%.
