order_id,user_id,asset_id,side,order_type,stop_price,target_price,requested_qty,status,created_at
ORD_502413,USR_HFT_005,BTC,BUY,LIMIT,,,0.0145,FILLED,2026-08-21 17:36:56.000000
ORD_501884,USR_HFT_003,BTC,SELL,LIMIT,,,0.0117,FILLED,2026-08-21 17:50:59.000000
ORD_501226,USR_HFT_002,BTC,SELL,LIMIT,,,0.0119,FILLED,2026-08-21 18:14:23.000000
ORD_501460,USR_HFT_002,BTC,BUY,LIMIT,,,0.0131,FILLED,2026-08-21 18:24:54.000000
ORD_501304,USR_HFT_002,BTC,SELL,LIMIT,,,0.0031,FILLED,2026-08-21 18:52:10.000000
ORD_501821,USR_HFT_003,BTC,BUY,LIMIT,,,0.0081,FILLED,2026-08-21 18:54:34.000000
ORD_501423,USR_HFT_002,BTC,SELL,LIMIT,,,0.0098,FILLED,2026-08-21 19:04:31.000000
ORD_502068,USR_HFT_004,BTC,BUY,LIMIT,,,0.0043,FILLED,2026-08-21 19:12:13.000000
ORD_501030,USR_HFT_001,BTC,BUY,LIMIT,,,0.0128,FILLED,2026-08-21 20:30:06.000000
ORD_500963,USR_HFT_001,BTC,BUY,LIMIT,,,0.0105,FILLED,2026-08-21 20:50:29.000000
ORD_502389,USR_HFT_005,BTC,SELL,LIMIT,,,0.0078,FILLED,2026-08-21 20:53:51.000000
ORD_501290,USR_HFT_002,BTC,BUY,LIMIT,,,0.0103,FILLED,2026-08-21 21:06:32.000000
ORD_502282,USR_HFT_005,BTC,SELL,LIMIT,,,0.0132,FILLED,2026-08-21 21:24:58.000000
ORD_501546,USR_HFT_003,BTC,BUY,LIMIT,,,0.0083,FILLED,2026-08-21 22:00:54.000000
ORD_501296,USR_HFT_002,BTC,SELL,LIMIT,,,0.0101,FILLED,2026-08-21 23:17:23.000000
ORD_500188,USR_RET_007,BTC,BUY,MARKET,,,0.0224,FILLED,2026-08-22 00:06:00.000000
ORD_501725,USR_HFT_003,BTC,BUY,LIMIT,,,0.0122,FILLED,2026-08-22 00:16:51.000000
ORD_501756,USR_HFT_003,BTC,SELL,LIMIT,,,0.0032,FILLED,2026-08-22 00:34:38.000000
ORD_501692,USR_HFT_003,BTC,BUY,LIMIT,,,0.0121,FILLED,2026-08-22 00:58:28.000000
ORD_500207,USR_RET_008,BTC,SELL,MARKET,,,0.0526,FILLED,2026-08-22 01:04:00.000000
ORD_501566,USR_HFT_003,BTC,BUY,LIMIT,,,0.0029,FILLED,2026-08-22 01:32:10.000000
ORD_500268,USR_RET_010,BTC,SELL,MARKET,,,0.028,FILLED,2026-08-22 01:44:00.000000
ORD_500233,USR_RET_009,BTC,BUY,MARKET,,,0.0309,FILLED,2026-08-22 02:06:00.000000
ORD_500985,USR_HFT_001,BTC,SELL,LIMIT,,,0.0077,FILLED,2026-08-22 02:14:28.000000
ORD_501587,USR_HFT_003,BTC,BUY,LIMIT,,,0.0124,FILLED,2026-08-22 02:39:15.000000
ORD_501399,USR_HFT_002,BTC,BUY,LIMIT,,,0.0123,FILLED,2026-08-22 03:58:03.000000
ORD_502239,USR_HFT_004,BTC,BUY,LIMIT,,,0.0072,FILLED,2026-08-22 04:24:04.000000
ORD_501580,USR_HFT_003,BTC,BUY,LIMIT,,,0.0138,FILLED,2026-08-22 04:51:33.000000
ORD_501890,USR_HFT_003,BTC,BUY,LIMIT,,,0.0057,FILLED,2026-08-22 05:06:04.000000
ORD_502537,USR_HFT_005,BTC,SELL,LIMIT,,,0.0105,FILLED,2026-08-22 05:53:17.000000
ORD_502538,USR_HFT_005,BTC,BUY,LIMIT,,,0.0105,FILLED,2026-08-22 05:53:20.430055
ORD_500189,USR_RET_007,BTC,BUY,MARKET,,,0.014,FILLED,2026-08-22 06:00:00.000000
ORD_501645,USR_HFT_003,BTC,BUY,LIMIT,,,0.0079,FILLED,2026-08-22 06:01:09.000000
ORD_502059,USR_HFT_004,BTC,BUY,LIMIT,,,0.0088,FILLED,2026-08-22 06:33:32.000000
ORD_500925,USR_HFT_001,BTC,SELL,LIMIT,,,0.0102,FILLED,2026-08-22 06:39:38.000000
ORD_501252,USR_HFT_002,BTC,SELL,LIMIT,,,0.0097,FILLED,2026-08-22 07:01:08.000000
ORD_501283,USR_HFT_002,BTC,SELL,LIMIT,,,0.0135,FILLED,2026-08-22 07:30:58.000000
ORD_500571,USR_SYS_004,BTC,BUY,LIMIT,6597365.25,7639054.5,0.0546,FILLED,2026-08-22 07:45:00.000000
ORD_501745,USR_HFT_003,BTC,SELL,LIMIT,,,0.0096,FILLED,2026-08-22 08:13:35.000000
ORD_501997,USR_HFT_004,BTC,BUY,LIMIT,,,0.0127,FILLED,2026-08-22 08:20:58.000000
ORD_501596,USR_HFT_003,BTC,BUY,LIMIT,,,0.0036,FILLED,2026-08-22 08:45:07.000000
ORD_501753,USR_HFT_003,BTC,SELL,LIMIT,,,0.0044,FILLED,2026-08-22 08:54:09.000000
ORD_500359,USR_RET_014,BTC,BUY,MARKET,,,0.0072,FILLED,2026-08-22 10:21:00.000000
ORD_502008,USR_HFT_004,BTC,BUY,LIMIT,,,0.0077,FILLED,2026-08-22 10:33:46.000000
ORD_500869,USR_SYS_010,BTC,BUY,LIMIT,6505786.5562,7533016.0125,0.0218,FILLED,2026-08-22 10:45:00.000000
ORD_501902,USR_HFT_004,BTC,SELL,LIMIT,,,0.0084,FILLED,2026-08-22 10:52:06.000000
ORD_501668,USR_HFT_003,BTC,BUY,LIMIT,,,0.0032,FILLED,2026-08-22 10:53:23.000000
ORD_500151,USR_RET_006,BTC,SELL,MARKET,,,0.0095,FILLED,2026-08-22 11:12:00.000000
