trade_id,order_id,user_id,asset_id,side,execution_price,executed_qty,fee_inr,slippage_pct,executed_at
TRD_802413,ORD_502413,USR_HFT_005,BTC,BUY,6832927.0512,0.0145,49.5387,0.0,2026-08-21 17:36:56.000000
TRD_801884,ORD_501884,USR_HFT_003,BTC,SELL,6835660.7688,0.0117,39.9886,0.0,2026-08-21 17:50:59.000000
TRD_801226,ORD_501226,USR_HFT_002,BTC,SELL,6835660.7688,0.0119,40.6722,0.0,2026-08-21 18:14:23.000000
TRD_801460,ORD_501460,USR_HFT_002,BTC,BUY,6832927.0512,0.0131,44.7557,0.0,2026-08-21 18:24:54.000000
TRD_801304,ORD_501304,USR_HFT_002,BTC,SELL,6839485.6186,0.0031,10.6012,0.0,2026-08-21 18:52:10.000000
TRD_801821,ORD_501821,USR_HFT_003,BTC,BUY,6836750.3714,0.0081,27.6888,0.0,2026-08-21 18:54:34.000000
TRD_801423,ORD_501423,USR_HFT_002,BTC,SELL,6839485.6186,0.0098,33.5135,0.0,2026-08-21 19:04:31.000000
TRD_802068,ORD_502068,USR_HFT_004,BTC,BUY,6836750.3714,0.0043,14.699,0.0,2026-08-21 19:12:13.000000
TRD_801030,ORD_501030,USR_HFT_001,BTC,BUY,6832778.401,0.0128,43.7298,0.0,2026-08-21 20:30:06.000000
TRD_800963,ORD_500963,USR_HFT_001,BTC,BUY,6832778.401,0.0105,35.8721,0.0,2026-08-21 20:50:29.000000
TRD_802389,ORD_502389,USR_HFT_005,BTC,SELL,6835512.059,0.0078,26.6585,0.0,2026-08-21 20:53:51.000000
TRD_801290,ORD_501290,USR_HFT_002,BTC,BUY,6832778.401,0.0103,35.1888,0.0,2026-08-21 21:06:32.000000
TRD_802282,ORD_502282,USR_HFT_005,BTC,SELL,6835512.059,0.0132,45.1144,0.0,2026-08-21 21:24:58.000000
TRD_801546,ORD_501546,USR_HFT_003,BTC,BUY,6856140.3826,0.0083,28.453,0.0,2026-08-21 22:00:54.000000
TRD_801296,ORD_501296,USR_HFT_002,BTC,SELL,6850622.0304,0.0101,34.5956,0.0,2026-08-21 23:17:23.000000
TRD_800188,ORD_500188,USR_RET_007,BTC,BUY,6847903.263,0.0224,306.7861,0.003,2026-08-22 00:06:00.000000
TRD_801725,ORD_501725,USR_HFT_003,BTC,BUY,6826055.5158,0.0122,41.6389,0.0,2026-08-22 00:16:51.000000
TRD_801756,ORD_501756,USR_HFT_003,BTC,SELL,6818424.6022,0.0032,10.9095,0.0,2026-08-22 00:34:38.000000
TRD_801692,ORD_501692,USR_HFT_003,BTC,BUY,6815697.7778,0.0121,41.235,0.0,2026-08-22 00:58:28.000000
TRD_800207,ORD_500207,USR_RET_008,BTC,SELL,6806835.5982,0.0526,716.0791,0.0015,2026-08-22 01:04:00.000000
TRD_801566,ORD_501566,USR_HFT_003,BTC,BUY,6859164.7076,0.0029,9.9458,0.0,2026-08-22 01:32:10.000000
TRD_800268,ORD_500268,USR_RET_010,BTC,SELL,6842699.4193,0.028,383.1912,0.0026,2026-08-22 01:44:00.000000
TRD_800233,ORD_500233,USR_RET_009,BTC,BUY,6867397.3518,0.0309,424.4052,0.001,2026-08-22 02:06:00.000000
TRD_800985,ORD_500985,USR_HFT_001,BTC,SELL,6861908.9224,0.0077,26.4183,0.0,2026-08-22 02:14:28.000000
TRD_801587,ORD_501587,USR_HFT_003,BTC,BUY,6946316.2338,0.0124,43.0672,0.0,2026-08-22 02:39:15.000000
TRD_801399,ORD_501399,USR_HFT_002,BTC,BUY,6942333.6455,0.0123,42.6954,0.0,2026-08-22 03:58:03.000000
TRD_802239,ORD_502239,USR_HFT_004,BTC,BUY,6942333.6455,0.0072,24.9924,0.0,2026-08-22 04:24:04.000000
TRD_801580,ORD_501580,USR_HFT_003,BTC,BUY,6931529.0719,0.0138,47.8276,0.0,2026-08-22 04:51:33.000000
TRD_801890,ORD_501890,USR_HFT_003,BTC,BUY,6931529.0719,0.0057,19.7549,0.0,2026-08-22 05:06:04.000000
